	Gewinn Gesamt	Kosten
85	-165161.24649413425	180055.77749413424
86	-164981.13849413424	180060.30049413425
87	-164902.45449413423	180064.82249413425
88	-164721.21649413425	180069.34549413424
89	-163606.33949413424	180073.86749413423
90	-163426.81449413425	180078.39049413425
91	-166043.24149413424	180082.91249413425
92	-165889.93449413424	180087.43549413423
93	-163460.64349413424	180091.95749413423
94	-163270.97049413424	180096.48049413424
95	-161594.30649413425	180101.00349413423
96	-161382.63749413425	180105.52549413423
97	-163334.49949413424	180110.04849413424
98	-163158.99649413425	180114.57049413424
99	-163022.44649413423	180119.09349413423
100	-162832.42849413425	180123.61549413422
101	-159915.21749413424	180128.13849413424
102	-159690.42549413425	180132.66049413424
103	-162950.53949413425	180137.18349413422
104	-162777.11549413425	180141.70549413425
105	-164609.22649413423	180146.22849413424
106	-164451.69049413424	180150.75149413425
107	-161517.91049413424	180155.27349413425
108	-161348.88249413425	180159.79649413424
109	-160924.54949413423	180164.31849413423
110	-160737.95049413425	180168.84149413425
111	-163382.29149413423	180173.36349413425
112	-163215.06849413423	180177.88649413423
113	-162571.41849413424	180182.40849413423
114	-162404.69749413425	180186.93149413425
115	-160270.43149413425	180191.45349413424
116	-160068.74249413423	180195.97649413423
117	-161185.47449413425	180200.49949413424
118	-160996.05949413424	180205.02149413424
119	-155349.03349413423	180209.54449413423
120	-155110.17849413425	180214.06649413423
121	-160205.47749413425	180218.58949413424
122	-160038.34449413425	180223.11149413424
123	-158111.95349413424	180227.63449413422
124	-157922.01049413424	180232.15649413425
125	-160647.77049413422	180236.67949413424
126	-160489.02049413422	180241.20149413423
127	-157944.45849413425	180245.72449413425
128	-157737.82949413423	180250.24649413425
129	-156896.17449413423	180254.76949413423
130	-156684.43049413423	180259.29249413425
131	-155902.18049413423	180263.81449413425
132	-155685.71849413423	180268.33749413423
133	-155187.87749413424	180272.85949413423
134	-154976.66149413423	180277.38249413425
135	-156881.86849413425	180281.90449413424
136	-156703.64849413425	180286.42749413423
137	-155160.74349413425	180290.94949413423
138	-154963.58649413424	180295.47249413424
139	-157030.61649413424	180299.99449413424
140	-156855.70349413424	180304.51749413423
141	-157874.16149413423	180309.04049413424
142	-157695.58249413423	180313.56249413424
143	-155672.19949413423	180318.08549413423
144	-155482.45449413423	180322.60749413425
145	-158296.52649413425	180327.13049413424
146	-158131.15749413424	180331.65249413424
147	-155524.40649413422	180336.17549413425
148	-155349.06949413422	180340.69749413425
149	-156069.87849413423	180345.22049413424
150	-155906.91649413423	180349.74249413423
151	-149766.86349413425	180354.26549413425
152	-149563.39749413423	180358.78849413423
153	-157067.66949413423	180363.31049413423
154	-156896.44349413423	180367.83349413425
